TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
0.000000,10.0.0.1:38250,10.0.0.2:5000,0,2476,619.025,10,0,0,0
0.151570,10.0.0.1:38250,10.0.0.2:5000,0,2185,636.001,11,0,0,0
0.151789,10.0.0.1:38250,10.0.0.2:5000,1737,1931,647.903,13,0,0,0
0.152042,10.0.0.1:38250,10.0.0.2:5000,2316,1708,655.457,14,0,0,0
0.154482,10.0.0.1:38250,10.0.0.2:5000,11,1513,659.343,15,0,0,0
0.154690,10.0.0.1:38250,10.0.0.2:5000,13,1343,660.059,16,0,0,0
0.157534,10.0.0.1:38250,10.0.0.2:5000,10,1194,644.248,17,0,0,0
0.157663,10.0.0.1:38250,10.0.0.2:5000,11,1063,613.723,18,0,0,0
0.159961,10.0.0.1:38250,10.0.0.2:5000,9,949,574.623,19,0,0,0
0.160169,10.0.0.1:38250,10.0.0.2:5000,10,849,530.981,20,0,0,0
0.299205,10.0.0.1:38250,10.0.0.2:5000,0,761,485.936,21,0,0,0
0.302243,10.0.0.1:38250,10.0.0.2:5000,0,685,440.810,22,0,0,0
0.302416,10.0.0.1:38250,10.0.0.2:5000,0,618,397.759,23,0,0,0
0.304301,10.0.0.1:38250,10.0.0.2:5000,0,559,356.841,24,0,0,0
0.306517,10.0.0.1:38250,10.0.0.2:5000,0,508,318.926,25,0,0,0
0.306835,10.0.0.1:38250,10.0.0.2:5000,0,463,284.038,26,0,0,0
0.308943,10.0.0.1:38250,10.0.0.2:5000,0,424,252.326,27,0,0,0
0.309131,10.0.0.1:38250,10.0.0.2:5000,0,389,223.607,28,0,0,0
0.311373,10.0.0.1:38250,10.0.0.2:5000,0,359,197.784,29,0,0,0
0.311579,10.0.0.1:38250,10.0.0.2:5000,0,333,174.632,30,0,0,0
0.313754,10.0.0.1:38250,10.0.0.2:5000,0,310,154.060,31,0,0,0
0.313952,10.0.0.1:38250,10.0.0.2:5000,0,290,135.721,32,0,0,0
0.316234,10.0.0.1:38250,10.0.0.2:5000,0,272,119.449,33,0,0,0
0.316271,10.0.0.1:38250,10.0.0.2:5000,1,257,105.032,34,0,0,0
0.318510,10.0.0.1:38250,10.0.0.2:5000,1,243,92.327,35,0,0,0
0.318651,10.0.0.1:38250,10.0.0.2:5000,1,231,81.086,36,0,0,0
0.321070,10.0.0.1:38250,10.0.0.2:5000,1,221,71.153,37,0,0,0
0.321081,10.0.0.1:38250,10.0.0.2:5000,1,212,62.409,38,0,0,0
0.321179,10.0.0.1:38250,10.0.0.2:5000,1,204,55.009,39,0,0,0
0.323464,10.0.0.1:38250,10.0.0.2:5000,1,197,48.148,40,0,0,0
0.447294,10.0.0.1:38250,10.0.0.2:5000,1,191,42.238,41,0,0,0
0.450329,10.0.0.1:38250,10.0.0.2:5000,1,186,36.659,42,0,0,0
0.452477,10.0.0.1:38250,10.0.0.2:5000,1,181,31.965,43,0,0,0
0.452562,10.0.0.1:38250,10.0.0.2:5000,1,177,27.874,44,0,0,0
0.452893,10.0.0.1:38250,10.0.0.2:5000,1,174,24.513,45,0,0,0
0.456334,10.0.0.1:38250,10.0.0.2:5000,1,171,21.111,46,0,0,0
0.456426,10.0.0.1:38250,10.0.0.2:5000,1,168,18.504,47,0,0,0
0.459987,10.0.0.1:38250,10.0.0.2:5000,1,166,15.772,48,0,0,0
0.460043,10.0.0.1:38250,10.0.0.2:5000,1,164,13.665,49,0,0,0
0.464252,10.0.0.1:38250,10.0.0.2:5000,1,163,11.330,50,0,0,0
0.464301,10.0.0.1:38250,10.0.0.2:5000,1,162,9.856,51,0,0,0
0.464611,10.0.0.1:38250,10.0.0.2:5000,1,161,8.542,52,0,0,0
0.464617,10.0.0.1:38250,10.0.0.2:5000,1,160,7.690,53,0,0,0
0.464618,10.0.0.1:38250,10.0.0.2:5000,1,158,6.890,54,0,0,0
0.464708,10.0.0.1:38250,10.0.0.2:5000,1,157,6.449,55,0,0,0
0.469748,10.0.0.1:38250,10.0.0.2:5000,1,157,5.328,56,0,0,0
0.469781,10.0.0.1:38250,10.0.0.2:5000,1,156,4.713,57,0,0,0
0.469783,10.0.0.1:38250,10.0.0.2:5000,1,155,4.163,58,0,0,0
0.469784,10.0.0.1:38250,10.0.0.2:5000,1,154,3.978,59,0,0,0
0.469833,10.0.0.1:38250,10.0.0.2:5000,1,154,3.727,60,0,0,0
0.475447,10.0.0.1:38250,10.0.0.2:5000,1,153,3.047,61,0,0,0
0.475639,10.0.0.1:38250,10.0.0.2:5000,1,153,2.482,62,0,0,0
0.475654,10.0.0.1:38250,10.0.0.2:5000,1,153,2.054,63,0,0,0
0.475662,10.0.0.1:38250,10.0.0.2:5000,1,153,1.708,64,0,0,0
0.475783,10.0.0.1:38250,10.0.0.2:5000,1,153,1.413,65,0,0,0
0.476031,10.0.0.1:38250,10.0.0.2:5000,1,152,1.462,66,0,0,0
0.482224,10.0.0.1:38250,10.0.0.2:5000,2,152,1.214,67,0,0,0
0.482245,10.0.0.1:38250,10.0.0.2:5000,2,152,1.015,68,0,0,0
0.482254,10.0.0.1:38250,10.0.0.2:5000,2,152,1.030,69,0,0,0
0.482582,10.0.0.1:38250,10.0.0.2:5000,2,152,1.033,70,0,0,0
0.482627,10.0.0.1:38250,10.0.0.2:5000,2,151,1.018,71,0,0,0
0.489001,10.0.0.1:38250,10.0.0.2:5000,2,152,0.899,72,0,0,0
0.489556,10.0.0.1:38250,10.0.0.2:5000,2,152,0.862,73,0,0,0
0.489578,10.0.0.1:38250,10.0.0.2:5000,2,152,0.814,74,0,0,0
0.489588,10.0.0.1:38250,10.0.0.2:5000,2,152,0.822,75,0,0,0
0.489597,10.0.0.1:38250,10.0.0.2:5000,2,151,0.826,76,0,0,0
0.497194,10.0.0.1:38250,10.0.0.2:5000,2,152,1.363,77,0,0,0
0.497450,10.0.0.1:38250,10.0.0.2:5000,2,152,1.240,78,0,0,0
0.497600,10.0.0.1:38250,10.0.0.2:5000,2,153,1.140,79,0,0,0
0.497613,10.0.0.1:38250,10.0.0.2:5000,2,153,1.040,80,0,0,0
0.595119,10.0.0.1:38250,10.0.0.2:5000,3,152,1.091,81,0,0,0
0.596910,10.0.0.1:38250,10.0.0.2:5000,3,152,1.101,82,0,0,0
0.599553,10.0.0.1:38250,10.0.0.2:5000,3,151,1.112,83,0,0,0
0.600019,10.0.0.1:38250,10.0.0.2:5000,3,151,1.093,84,0,0,0
0.601471,10.0.0.1:38250,10.0.0.2:5000,3,151,1.099,85,0,0,0
0.601690,10.0.0.1:38250,10.0.0.2:5000,3,150,1.079,86,0,0,0
0.604709,10.0.0.1:38250,10.0.0.2:5000,3,151,0.963,87,0,0,0
0.605247,10.0.0.1:38250,10.0.0.2:5000,3,151,0.751,89,0,0,0
0.607898,10.0.0.1:38250,10.0.0.2:5000,3,151,0.920,90,0,0,0
0.608295,10.0.0.1:38250,10.0.0.2:5000,3,151,0.742,91,0,0,0
0.608594,10.0.0.1:38250,10.0.0.2:5000,3,151,0.639,92,0,0,0
0.612796,10.0.0.1:38250,10.0.0.2:5000,3,152,1.077,93,0,0,0
0.613012,10.0.0.1:38250,10.0.0.2:5000,3,152,1.358,94,0,0,0
0.613036,10.0.0.1:38250,10.0.0.2:5000,3,152,1.374,95,0,0,0
0.613334,10.0.0.1:38250,10.0.0.2:5000,3,151,1.377,96,0,0,0
0.620589,10.0.0.1:38250,10.0.0.2:5000,3,152,1.615,97,0,0,0
0.620858,10.0.0.1:38250,10.0.0.2:5000,3,153,1.754,98,0,0,0
0.620872,10.0.0.1:38250,10.0.0.2:5000,3,152,1.463,99,0,0,0
0.620881,10.0.0.1:38250,10.0.0.2:5000,3,152,1.225,100,0,0,0
0.621158,10.0.0.1:38250,10.0.0.2:5000,3,152,0.996,101,0,0,0
0.621196,10.0.0.1:38250,10.0.0.2:5000,3,152,0.810,102,0,0,0
0.624060,10.0.0.1:38250,10.0.0.2:5000,3,152,0.910,103,0,0,0
0.631458,10.0.0.1:38250,10.0.0.2:5000,3,153,1.075,104,0,0,0
0.631932,10.0.0.1:38250,10.0.0.2:5000,3,153,1.209,105,0,0,0
0.632007,10.0.0.1:38250,10.0.0.2:5000,3,154,1.268,106,0,0,0
0.632008,10.0.0.1:38250,10.0.0.2:5000,3,154,1.268,107,0,0,0
0.632009,10.0.0.1:38250,10.0.0.2:5000,3,154,1.228,108,0,0,0
0.632234,10.0.0.1:38250,10.0.0.2:5000,3,155,1.192,109,0,0,0
0.632267,10.0.0.1:38250,10.0.0.2:5000,3,154,1.226,110,0,0,0
0.633835,10.0.0.1:38250,10.0.0.2:5000,3,154,1.221,111,0,0,0
0.636793,10.0.0.1:38250,10.0.0.2:5000,3,154,1.022,112,0,0,0
0.637009,10.0.0.1:38250,10.0.0.2:5000,3,154,0.886,113,0,0,0
0.637035,10.0.0.1:38250,10.0.0.2:5000,3,154,0.773,114,0,0,0
0.645353,10.0.0.1:38250,10.0.0.2:5000,3,155,1.714,115,0,0,0
0.645624,10.0.0.1:38250,10.0.0.2:5000,3,155,1.421,116,0,0,0
0.645646,10.0.0.1:38250,10.0.0.2:5000,3,155,1.187,117,0,0,0
0.645655,10.0.0.1:38250,10.0.0.2:5000,3,155,0.998,118,0,0,0
0.645782,10.0.0.1:38250,10.0.0.2:5000,3,156,0.858,119,0,0,0
0.645964,10.0.0.1:38250,10.0.0.2:5000,3,156,0.763,120,0,0,0
0.645996,10.0.0.1:38250,10.0.0.2:5000,3,156,0.680,121,0,0,0
0.646273,10.0.0.1:38250,10.0.0.2:5000,3,156,0.639,122,0,0,0
0.651313,10.0.0.1:38250,10.0.0.2:5000,3,156,0.651,123,0,0,0
0.660632,10.0.0.1:38250,10.0.0.2:5000,3,157,1.429,124,0,0,0
0.660917,10.0.0.1:38250,10.0.0.2:5000,3,157,1.930,125,0,0,0
0.661127,10.0.0.1:38250,10.0.0.2:5000,3,158,2.225,126,0,0,0
0.661131,10.0.0.1:38250,10.0.0.2:5000,3,159,2.350,127,0,0,0
0.661132,10.0.0.1:38250,10.0.0.2:5000,3,160,2.359,128,0,0,0
0.661163,10.0.0.1:38250,10.0.0.2:5000,3,160,2.294,129,0,0,0
0.661498,10.0.0.1:38250,10.0.0.2:5000,3,159,2.316,130,0,0,0
0.661530,10.0.0.1:38250,10.0.0.2:5000,3,159,2.324,131,0,0,0
0.661638,10.0.0.1:38250,10.0.0.2:5000,3,158,2.297,132,0,0,0
0.661863,10.0.0.1:38250,10.0.0.2:5000,3,158,2.179,133,0,0,0
0.661866,10.0.0.1:38250,10.0.0.2:5000,3,157,2.034,134,0,0,0
0.661867,10.0.0.1:38250,10.0.0.2:5000,3,157,1.874,135,0,0,0
0.662069,10.0.0.1:38250,10.0.0.2:5000,3,157,1.686,136,0,0,0
0.662083,10.0.0.1:38250,10.0.0.2:5000,4,156,1.508,137,0,0,0
0.662221,10.0.0.1:38250,10.0.0.2:5000,3,155,1.579,138,0,0,0
0.666394,10.0.0.1:38250,10.0.0.2:5000,4,155,1.490,140,0,0,0
0.672217,10.0.0.1:38250,10.0.0.2:5000,4,156,1.578,142,0,0,0
0.672997,10.0.0.1:38250,10.0.0.2:5000,4,156,1.684,144,0,0,0
0.673002,10.0.0.1:38250,10.0.0.2:5000,4,157,1.701,145,0,0,0
0.673004,10.0.0.1:38250,10.0.0.2:5000,4,156,1.646,147,0,0,0
0.673071,10.0.0.1:38250,10.0.0.2:5000,4,156,1.549,149,0,0,0
0.673101,10.0.0.1:38250,10.0.0.2:5000,4,156,1.433,151,0,0,0
0.673118,10.0.0.1:38250,10.0.0.2:5000,4,155,1.311,153,0,0,0
0.680952,10.0.0.1:38250,10.0.0.2:5000,4,155,1.010,155,0,0,0
0.681875,10.0.0.1:38250,10.0.0.2:5000,4,156,0.896,157,0,0,0
0.682056,10.0.0.1:38250,10.0.0.2:5000,5,156,0.817,159,0,0,0
0.682071,10.0.0.1:38250,10.0.0.2:5000,5,156,0.740,160,0,0,0
0.742473,10.0.0.1:38250,10.0.0.2:5000,6,155,0.856,162,0,0,0
0.748374,10.0.0.1:38250,10.0.0.2:5000,6,154,0.886,164,0,0,0
0.748606,10.0.0.1:38250,10.0.0.2:5000,6,154,0.945,166,0,0,0
0.748620,10.0.0.1:38250,10.0.0.2:5000,6,153,1.022,168,0,0,0
0.751093,10.0.0.1:38250,10.0.0.2:5000,6,152,1.044,170,0,0,0
0.758877,10.0.0.1:38250,10.0.0.2:5000,6,152,0.971,172,0,0,0
0.759101,10.0.0.1:38250,10.0.0.2:5000,6,153,0.921,174,0,0,0
0.759127,10.0.0.1:38250,10.0.0.2:5000,6,152,0.917,176,0,0,0
0.759143,10.0.0.1:38250,10.0.0.2:5000,6,152,0.884,178,0,0,0
0.759408,10.0.0.1:38250,10.0.0.2:5000,6,152,0.801,180,0,0,0
0.761541,10.0.0.1:38250,10.0.0.2:5000,6,152,0.833,181,0,0,0
0.761966,10.0.0.1:38250,10.0.0.2:5000,6,151,0.851,182,0,0,0
0.761970,10.0.0.1:38250,10.0.0.2:5000,6,151,0.862,183,0,0,0
0.770883,10.0.0.1:38250,10.0.0.2:5000,6,152,1.496,184,0,0,0
0.771073,10.0.0.1:38250,10.0.0.2:5000,6,153,1.849,185,0,0,0
0.771088,10.0.0.1:38250,10.0.0.2:5000,7,153,2.025,186,0,0,0
0.771282,10.0.0.1:38250,10.0.0.2:5000,7,154,2.102,187,0,0,0
0.771581,10.0.0.1:38250,10.0.0.2:5000,7,154,2.124,188,0,0,0
0.771920,10.0.0.1:38250,10.0.0.2:5000,7,155,2.114,189,0,0,0
0.772077,10.0.0.1:38250,10.0.0.2:5000,7,155,2.062,190,0,0,0
0.772084,10.0.0.1:38250,10.0.0.2:5000,6,155,2.063,191,0,0,0
0.772087,10.0.0.1:38250,10.0.0.2:5000,7,154,2.009,192,0,0,0
0.772298,10.0.0.1:38250,10.0.0.2:5000,7,154,1.884,193,0,0,0
0.772415,10.0.0.1:38250,10.0.0.2:5000,7,154,1.729,194,0,0,0
0.772436,10.0.0.1:38250,10.0.0.2:5000,7,153,1.646,195,0,0,0
0.772471,10.0.0.1:38250,10.0.0.2:5000,7,153,1.535,196,0,0,0
0.776404,10.0.0.1:38250,10.0.0.2:5000,7,153,1.379,197,0,0,0
0.782165,10.0.0.1:38250,10.0.0.2:5000,7,154,1.955,198,0,0,0
0.782436,10.0.0.1:38250,10.0.0.2:5000,7,155,2.305,199,0,0,0
0.784248,10.0.0.1:38250,10.0.0.2:5000,7,156,2.690,200,0,0,0
0.784387,10.0.0.1:38250,10.0.0.2:5000,7,157,2.876,201,0,0,0
0.784520,10.0.0.1:38250,10.0.0.2:5000,7,158,2.925,202,0,0,0
0.784616,10.0.0.1:38250,10.0.0.2:5000,7,158,2.877,203,0,0,0
0.793798,10.0.0.1:38250,10.0.0.2:5000,7,160,3.904,204,0,0,0
0.794068,10.0.0.1:38250,10.0.0.2:5000,7,160,3.286,205,0,0,0
