TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
0.000000,10.0.0.1:45550,10.0.0.2:5000,0,1108,277.000,10,0,0,1
0.159331,10.0.0.1:45550,10.0.0.2:5000,0,989,283.168,11,0,0,1
0.159564,10.0.0.1:45550,10.0.0.2:5000,10,885,287.288,13,0,0,1
0.165034,10.0.0.1:45550,10.0.0.2:5000,14,795,289.623,14,0,0,1
0.165249,10.0.0.1:45550,10.0.0.2:5000,12,715,290.487,15,0,0,1
0.165272,10.0.0.1:45550,10.0.0.2:5000,10,646,287.520,16,0,0,1
0.165284,10.0.0.1:45550,10.0.0.2:5000,12,585,276.587,17,0,0,1
0.165519,10.0.0.1:45550,10.0.0.2:5000,11,531,260.923,18,0,0,1
0.165532,10.0.0.1:45550,10.0.0.2:5000,13,484,242.487,19,0,0,1
0.165541,10.0.0.1:45550,10.0.0.2:5000,12,443,223.008,20,0,0,1
0.287327,10.0.0.1:45550,10.0.0.2:5000,0,404,206.736,21,0,0,1
0.306649,10.0.0.1:45550,10.0.0.2:5000,0,369,189.625,22,0,0,1
0.310916,10.0.0.1:45550,10.0.0.2:5000,0,340,171.937,23,0,0,1
0.317115,10.0.0.1:45550,10.0.0.2:5000,0,313,155.622,24,0,0,1
0.317269,10.0.0.1:45550,10.0.0.2:5000,0,290,140.032,25,0,0,1
0.330060,10.0.0.1:45550,10.0.0.2:5000,0,269,125.275,26,0,0,1
0.330547,10.0.0.1:45550,10.0.0.2:5000,0,252,111.614,27,0,0,1
0.340151,10.0.0.1:45550,10.0.0.2:5000,0,236,99.411,28,0,0,1
0.341238,10.0.0.1:45550,10.0.0.2:5000,0,222,88.160,29,0,0,1
0.352302,10.0.0.1:45550,10.0.0.2:5000,0,210,78.086,30,0,0,1
0.353380,10.0.0.1:45550,10.0.0.2:5000,0,200,68.899,30,0,0,1
0.363650,10.0.0.1:45550,10.0.0.2:5000,0,191,60.875,30,0,0,1
0.364137,10.0.0.1:45550,10.0.0.2:5000,0,183,53.646,30,0,0,1
0.375783,10.0.0.1:45550,10.0.0.2:5000,0,176,47.222,30,0,0,1
0.375833,10.0.0.1:45550,10.0.0.2:5000,0,170,41.524,30,0,0,1
0.386211,10.0.0.1:45550,10.0.0.2:5000,0,164,36.634,30,0,0,1
0.386944,10.0.0.1:45550,10.0.0.2:5000,0,160,32.189,31,0,0,1
0.398048,10.0.0.1:45550,10.0.0.2:5000,0,155,28.329,32,0,0,1
0.398394,10.0.0.1:45550,10.0.0.2:5000,0,152,24.867,33,0,0,1
0.410455,10.0.0.1:45550,10.0.0.2:5000,0,149,21.758,34,0,0,1
0.415170,10.0.0.1:45550,10.0.0.2:5000,1,146,19.166,35,0,0,1
0.415510,10.0.0.1:45550,10.0.0.2:5000,1,143,16.824,36,0,0,1
0.435664,10.0.0.1:45550,10.0.0.2:5000,1,141,14.473,38,0,0,1
0.441956,10.0.0.1:45550,10.0.0.2:5000,1,140,12.390,40,0,0,1
0.450942,10.0.0.1:45550,10.0.0.2:5000,2,138,10.906,42,0,0,1
0.463117,10.0.0.1:45550,10.0.0.2:5000,2,137,9.464,44,0,0,1
0.472616,10.0.0.1:45550,10.0.0.2:5000,1,136,8.428,45,0,0,1
0.473081,10.0.0.1:45550,10.0.0.2:5000,2,135,7.427,46,0,0,1
0.484452,10.0.0.1:45550,10.0.0.2:5000,1,134,6.519,47,0,0,1
0.484691,10.0.0.1:45550,10.0.0.2:5000,2,133,5.690,48,0,0,1
0.495211,10.0.0.1:45550,10.0.0.2:5000,1,132,5.037,49,0,0,1
0.495245,10.0.0.1:45550,10.0.0.2:5000,2,131,4.447,50,0,0,1
0.505767,10.0.0.1:45550,10.0.0.2:5000,1,131,4.005,51,0,0,1
0.506658,10.0.0.1:45550,10.0.0.2:5000,2,130,3.478,52,0,0,1
